LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed Level,Unemployed Rate
CN0108100000000,1,81,"Lee County, AL",2014,"71,372","67,385","3,987",5.6
CN0108300000000,1,83,"Limestone County, AL",2014,"39,591","37,177","2,414",6.1
CN0108500000000,1,85,"Lowndes County, AL",2014,"3,874","3,378",496,12.8
CN0108700000000,1,87,"Macon County, AL",2014,"8,239","7,489",750,9.1
CN0108900000000,1,89,"Madison County, AL",2014,"170,131","159,637","10,494",6.2
CN0109100000000,1,91,"Marengo County, AL",2014,"7,626","7,018",608,8
CN0109300000000,1,93,"Marion County, AL",2014,"12,293","11,322",971,7.9
CN0109500000000,1,95,"Marshall County, AL",2014,"39,915","37,254","2,661",6.7
CN0109700000000,1,97,"Mobile County, AL",2014,"185,382","171,027","14,355",7.7
CN0109900000000,1,99,"Monroe County, AL",2014,"7,617","6,775",842,11.1
CN0110100000000,1,101,"Montgomery County, AL",2014,"105,042","97,838","7,204",6.9
CN0110300000000,1,103,"Morgan County, AL",2014,"56,053","52,357","3,696",6.6
CN0110500000000,1,105,"Perry County, AL",2014,"3,490","3,067",423,12.1
CN0110700000000,1,107,"Pickens County, AL",2014,"7,762","7,126",636,8.2
CN0110900000000,1,109,"Pike County, AL",2014,"14,953","13,852","1,101",7.4
CN0111100000000,1,111,"Randolph County, AL",2014,"9,277","8,653",624,6.7
CN0111300000000,1,113,"Russell County, AL",2014,"24,774","23,156","1,618",6.5
CN0111500000000,1,115,"St. Clair County, AL",2014,"38,524","36,302","2,222",5.8
CN0111700000000,1,117,"Shelby County, AL",2014,"107,247","102,440","4,807",4.5
CN0111900000000,1,119,"Sumter County, AL",2014,"5,374","4,918",456,8.5
CN0112100000000,1,121,"Talladega County, AL",2014,"35,399","32,651","2,748",7.8
CN0112300000000,1,123,"Tallapoosa County, AL",2014,"18,424","17,041","1,383",7.5
CN0112500000000,1,125,"Tuscaloosa County, AL",2014,"97,092","91,359","5,733",5.9
CN0112700000000,1,127,"Walker County, AL",2014,"25,761","23,724","2,037",7.9
CN0112900000000,1,129,"Washington County, AL",2014,"6,656","6,017",639,9.6
CN0113100000000,1,131,"Wilcox County, AL",2014,"2,865","2,380",485,16.9
CN0113300000000,1,133,"Winston County, AL",2014,"9,634","8,806",828,8.6
CN0201300000000,2,13,"Aleutians East Borough, AK",2014,"2,228","2,127",101,4.5
CN0201600000000,2,16,"Aleutians West Census Area, AK",2014,"4,480","4,264",216,4.8
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2014,"158,213","149,973","8,240",5.2
CN0205000000000,2,50,"Bethel Census Area, AK",2014,"7,312","6,136","1,176",16.1
CN0206000000000,2,60,"Bristol Bay Borough, AK",2014,497,457,40,8
CN0206800000000,2,68,"Denali Borough, AK",2014,"1,073",962,111,10.3
CN0207000000000,2,70,"Dillingham Census Area, AK",2014,"2,121","1,908",213,10
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2014,"46,833","44,129","2,704",5.8
CN0210000000000,2,100,"Haines Borough, AK",2014,"1,113",994,119,10.7
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2014,"1,141",968,173,15.2
CN0211000000000,2,110,"Juneau Borough/city, AK",2014,"17,475","16,592",883,5.1
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2014,"27,979","25,780","2,199",7.9
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2014,"7,112","6,553",559,7.9
CN0215000000000,2,150,"Kodiak Island Borough, AK",2014,"6,587","6,213",374,5.7
CN0215800000000,2,158,"Kusilvak Census Area, AK",2014,"2,831","2,157",674,23.8
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2014,645,540,105,16.3
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2014,"44,926","41,304","3,622",8.1
CN0218000000000,2,180,"Nome Census Area, AK",2014,"4,128","3,620",508,12.3
CN0218500000000,2,185,"North Slope Borough, AK",2014,"4,354","4,094",260,6
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2014,"3,010","2,497",513,17
CN0219500000000,2,195,"Petersburg Borough, AK",2014,"1,584","1,434",150,9.5
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",2014,"2,838","2,459",379,13.4
CN0222000000000,2,220,"Sitka Borough/city, AK",2014,"4,686","4,447",239,5.1
CN0223000000000,2,230,"Skagway Municipality, AK",2014,806,710,96,11.9
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2014,"2,924","2,537",387,13.2
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2014,"4,888","4,416",472,9.7
CN0227500000000,2,275,"Wrangell Borough/city, AK",2014,"1,061",972,89,8.4
CN0228200000000,2,282,"Yakutat Borough/city, AK",2014,273,246,27,9.9
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2014,"2,588","2,097",491,19
CN0400100000000,4,1,"Apache County, AZ",2014,"21,129","17,823","3,306",15.6
CN0400300000000,4,3,"Cochise County, AZ",2014,"50,772","46,508","4,264",8.4
CN0400500000000,4,5,"Coconino County, AZ",2014,"71,960","66,866","5,094",7.1
CN0400700000000,4,7,"Gila County, AZ",2014,"21,332","19,562","1,770",8.3
CN0400900000000,4,9,"Graham County, AZ",2014,"14,387","13,320","1,067",7.4
CN0401100000000,4,11,"Greenlee County, AZ",2014,"4,702","4,397",305,6.5
CN0401200000000,4,12,"La Paz County, AZ",2014,"7,924","7,324",600,7.6
CN0401300000000,4,13,"Maricopa County, AZ",2014,"1,954,459","1,841,230","113,229",5.8
CN0401500000000,4,15,"Mohave County, AZ",2014,"78,060","71,264","6,796",8.7
CN0401700000000,4,17,"Navajo County, AZ",2014,"41,527","36,937","4,590",11.1
CN0401900000000,4,19,"Pima County, AZ",2014,"461,348","433,561","27,787",6
CN0402100000000,4,21,"Pinal County, AZ",2014,"153,156","142,463","10,693",7
CN0402300000000,4,23,"Santa Cruz County, AZ",2014,"20,217","17,608","2,609",12.9
CN0402500000000,4,25,"Yavapai County, AZ",2014,"93,950","87,992","5,958",6.3
CN0402700000000,4,27,"Yuma County, AZ",2014,"93,020","71,756","21,264",22.9
CN0500100000000,5,1,"Arkansas County, AR",2014,"9,466","8,958",508,5.4
CN0500300000000,5,3,"Ashley County, AR",2014,"8,476","7,692",784,9.2
CN0500500000000,5,5,"Baxter County, AR",2014,"15,986","14,919","1,067",6.7
CN0500700000000,5,7,"Benton County, AR",2014,"115,420","110,115","5,305",4.6
CN0500900000000,5,9,"Boone County, AR",2014,"15,664","14,727",937,6
CN0501100000000,5,11,"Bradley County, AR",2014,"4,153","3,806",347,8.4
CN0501300000000,5,13,"Calhoun County, AR",2014,"2,367","2,211",156,6.6
CN0501500000000,5,15,"Carroll County, AR",2014,"12,542","11,894",648,5.2
CN0501700000000,5,17,"Chicot County, AR",2014,"3,850","3,448",402,10.4
CN0501900000000,5,19,"Clark County, AR",2014,"9,522","8,859",663,7
CN0502100000000,5,21,"Clay County, AR",2014,"6,414","5,913",501,7.8
CN0502300000000,5,23,"Cleburne County, AR",2014,"9,745","8,940",805,8.3
CN0502500000000,5,25,"Cleveland County, AR",2014,"3,455","3,220",235,6.8
CN0502700000000,5,27,"Columbia County, AR",2014,"9,538","8,857",681,7.1
CN0502900000000,5,29,"Conway County, AR",2014,"8,596","7,982",614,7.1
CN0503100000000,5,31,"Craighead County, AR",2014,"49,477","46,789","2,688",5.4
CN0503300000000,5,33,"Crawford County, AR",2014,"26,803","25,200","1,603",6
CN0503500000000,5,35,"Crittenden County, AR",2014,"21,433","19,853","1,580",7.4
CN0503700000000,5,37,"Cross County, AR",2014,"8,098","7,584",514,6.3
CN0503900000000,5,39,"Dallas County, AR",2014,"2,878","2,610",268,9.3
CN0504100000000,5,41,"Desha County, AR",2014,"5,552","5,104",448,8.1
CN0504300000000,5,43,"Drew County, AR",2014,"7,985","7,313",672,8.4
CN0504500000000,5,45,"Faulkner County, AR",2014,"59,046","55,769","3,277",5.5
CN0504700000000,5,47,"Franklin County, AR",2014,"7,287","6,875",412,5.7
CN0504900000000,5,49,"Fulton County, AR",2014,"4,801","4,524",277,5.8
CN0505100000000,5,51,"Garland County, AR",2014,"40,339","37,789","2,550",6.3
CN0505300000000,5,53,"Grant County, AR",2014,"8,222","7,774",448,5.4
CN0505500000000,5,55,"Greene County, AR",2014,"19,627","18,387","1,240",6.3
CN0505700000000,5,57,"Hempstead County, AR",2014,"9,927","9,335",592,6
CN0505900000000,5,59,"Hot Spring County, AR",2014,"13,978","13,171",807,5.8
CN0506100000000,5,61,"Howard County, AR",2014,"6,196","5,837",359,5.8
CN0506300000000,5,63,"Independence County, AR",2014,"15,482","14,278","1,204",7.8
CN0506500000000,5,65,"Izard County, AR",2014,"4,917","4,547",370,7.5
CN0506700000000,5,67,"Jackson County, AR",2014,"6,191","5,621",570,9.2
CN0506900000000,5,69,"Jefferson County, AR",2014,"29,502","26,928","2,574",8.7
CN0507100000000,5,71,"Johnson County, AR",2014,"10,297","9,624",673,6.5
CN0507300000000,5,73,"Lafayette County, AR",2014,"2,663","2,455",208,7.8
CN0507500000000,5,75,"Lawrence County, AR",2014,"7,085","6,573",512,7.2
CN0507700000000,5,77,"Lee County, AR",2014,"3,252","3,006",246,7.6
CN0507900000000,5,79,"Lincoln County, AR",2014,"4,214","3,916",298,7.1
CN0508100000000,5,81,"Little River County, AR",2014,"5,543","5,181",362,6.5
CN0508300000000,5,83,"Logan County, AR",2014,"9,079","8,537",542,6
CN0508500000000,5,85,"Lonoke County, AR",2014,"32,747","31,077","1,670",5.1
CN0508700000000,5,87,"Madison County, AR",2014,"6,967","6,631",336,4.8
CN0508900000000,5,89,"Marion County, AR",2014,"6,536","6,126",410,6.3
CN0509100000000,5,91,"Miller County, AR",2014,"19,372","18,247","1,125",5.8
CN0509300000000,5,93,"Mississippi County, AR",2014,"19,075","17,320","1,755",9.2
CN0509500000000,5,95,"Monroe County, AR",2014,"3,093","2,885",208,6.7
CN0509700000000,5,97,"Montgomery County, AR",2014,"3,349","3,082",267,8
CN0509900000000,5,99,"Nevada County, AR",2014,"3,684","3,461",223,6.1
CN0510100000000,5,101,"Newton County, AR",2014,"3,363","3,167",196,5.8
CN0510300000000,5,103,"Ouachita County, AR",2014,"9,954","9,160",794,8
CN0510500000000,5,105,"Perry County, AR",2014,"4,231","3,905",326,7.7
CN0510700000000,5,107,"Phillips County, AR",2014,"7,228","6,535",693,9.6
CN0510900000000,5,109,"Pike County, AR",2014,"4,207","3,898",309,7.3
CN0511100000000,5,111,"Poinsett County, AR",2014,"10,103","9,404",699,6.9
CN0511300000000,5,113,"Polk County, AR",2014,"8,457","7,928",529,6.3
CN0511500000000,5,115,"Pope County, AR",2014,"29,615","27,764","1,851",6.3
CN0511700000000,5,117,"Prairie County, AR",2014,"3,813","3,593",220,5.8
CN0511900000000,5,119,"Pulaski County, AR",2014,"184,549","174,401","10,148",5.5
CN0512100000000,5,121,"Randolph County, AR",2014,"6,551","6,034",517,7.9
CN0512300000000,5,123,"St. Francis County, AR",2014,"8,978","8,198",780,8.7
CN0512500000000,5,125,"Saline County, AR",2014,"54,611","51,972","2,639",4.8
CN0512700000000,5,127,"Scott County, AR",2014,"4,543","4,315",228,5
CN0512900000000,5,129,"Searcy County, AR",2014,"2,994","2,804",190,6.3
CN0513100000000,5,131,"Sebastian County, AR",2014,"57,183","53,940","3,243",5.7
CN0513300000000,5,133,"Sevier County, AR",2014,"5,793","5,388",405,7
CN0513500000000,5,135,"Sharp County, AR",2014,"5,969","5,465",504,8.4
CN0513700000000,5,137,"Stone County, AR",2014,"4,701","4,343",358,7.6
CN0513900000000,5,139,"Union County, AR",2014,"16,579","15,355","1,224",7.4
CN0514100000000,5,141,"Van Buren County, AR",2014,"6,454","5,933",521,8.1
CN0514300000000,5,143,"Washington County, AR",2014,"110,157","105,355","4,802",4.4
CN0514500000000,5,145,"White County, AR",2014,"34,474","32,053","2,421",7
CN0514700000000,5,147,"Woodruff County, AR",2014,"3,166","2,926",240,7.6
CN0514900000000,5,149,"Yell County, AR",2014,"9,036","8,528",508,5.6
CN0600100000000,6,1,"Alameda County, CA",2014,"809,983","762,878","47,105",5.8
CN0600300000000,6,3,"Alpine County, CA",2014,512,470,42,8.2
CN0600500000000,6,5,"Amador County, CA",2014,"14,382","13,188","1,194",8.3
CN0600700000000,6,7,"Butte County, CA",2014,"101,483","92,708","8,775",8.6
CN0600900000000,6,9,"Calaveras County, CA",2014,"20,292","18,668","1,624",8
CN0601100000000,6,11,"Colusa County, CA",2014,"11,112","9,180","1,932",17.4
CN0601300000000,6,13,"Contra Costa County, CA",2014,"540,891","507,521","33,370",6.2
CN0601500000000,6,15,"Del Norte County, CA",2014,"9,954","8,952","1,002",10.1
CN0601700000000,6,17,"El Dorado County, CA",2014,"88,114","81,968","6,146",7
CN0601900000000,6,19,"Fresno County, CA",2014,"439,300","388,435","50,865",11.6
CN0602100000000,6,21,"Glenn County, CA",2014,"12,834","11,466","1,368",10.7
CN0602300000000,6,23,"Humboldt County, CA",2014,"62,505","58,346","4,159",6.7
CN0602500000000,6,25,"Imperial County, CA",2014,"78,445","59,598","18,847",24
CN0602700000000,6,27,"Inyo County, CA",2014,"9,234","8,604",630,6.8
CN0602900000000,6,29,"Kern County, CA",2014,"393,459","352,504","40,955",10.4
CN0603100000000,6,31,"Kings County, CA",2014,"57,578","50,717","6,861",11.9
CN0603300000000,6,33,"Lake County, CA",2014,"29,352","26,727","2,625",8.9
CN0603500000000,6,35,"Lassen County, CA",2014,"10,843","9,856",987,9.1
CN0603700000000,6,37,"Los Angeles County, CA",2014,"5,004,087","4,591,068","413,019",8.3
CN0603900000000,6,39,"Madera County, CA",2014,"61,953","55,013","6,940",11.2
CN0604100000000,6,41,"Marin County, CA",2014,"139,122","133,186","5,936",4.3
CN0604300000000,6,43,"Mariposa County, CA",2014,"8,110","7,398",712,8.8
CN0604500000000,6,45,"Mendocino County, CA",2014,"40,479","37,647","2,832",7
CN0604700000000,6,47,"Merced County, CA",2014,"114,589","99,887","14,702",12.8
CN0604900000000,6,49,"Modoc County, CA",2014,"3,374","3,028",346,10.3
CN0605100000000,6,51,"Mono County, CA",2014,"8,260","7,678",582,7
CN0605300000000,6,53,"Monterey County, CA",2014,"218,226","198,499","19,727",9
CN0605500000000,6,55,"Napa County, CA",2014,"73,592","69,417","4,175",5.7
CN0605700000000,6,57,"Nevada County, CA",2014,"47,961","44,820","3,141",6.5
CN0605900000000,6,59,"Orange County, CA",2014,"1,572,653","1,486,383","86,270",5.5
CN0606100000000,6,61,"Placer County, CA",2014,"175,888","164,871","11,017",6.3
CN0606300000000,6,63,"Plumas County, CA",2014,"8,118","7,182",936,11.5
CN0606500000000,6,65,"Riverside County, CA",2014,"1,013,481","930,412","83,069",8.2
CN0606700000000,6,67,"Sacramento County, CA",2014,"680,676","630,973","49,703",7.3
CN0606900000000,6,69,"San Benito County, CA",2014,"29,241","26,513","2,728",9.3
CN0607100000000,6,71,"San Bernardino County, CA",2014,"907,537","834,901","72,636",8
CN0607300000000,6,73,"San Diego County, CA",2014,"1,544,314","1,445,086","99,228",6.4
CN0607500000000,6,75,"San Francisco County/city, CA",2014,"529,839","506,679","23,160",4.4
CN0607700000000,6,77,"San Joaquin County, CA",2014,"312,782","279,832","32,950",10.5
CN0607900000000,6,79,"San Luis Obispo County, CA",2014,"140,565","132,727","7,838",5.6
CN0608100000000,6,81,"San Mateo County, CA",2014,"427,907","409,873","18,034",4.2
CN0608300000000,6,83,"Santa Barbara County, CA",2014,"218,314","204,973","13,341",6.1
CN0608500000000,6,85,"Santa Clara County, CA",2014,"992,221","941,097","51,124",5.2
CN0608700000000,6,87,"Santa Cruz County, CA",2014,"142,647","130,163","12,484",8.8
CN0608900000000,6,89,"Shasta County, CA",2014,"75,047","67,830","7,217",9.6
CN0609100000000,6,91,"Sierra County, CA",2014,"1,416","1,273",143,10.1
CN0609300000000,6,93,"Siskiyou County, CA",2014,"18,046","16,046","2,000",11.1
CN0609500000000,6,95,"Solano County, CA",2014,"203,266","187,972","15,294",7.5
CN0609700000000,6,97,"Sonoma County, CA",2014,"256,742","242,339","14,403",5.6
CN0609900000000,6,99,"Stanislaus County, CA",2014,"241,157","214,219","26,938",11.2
CN0610100000000,6,101,"Sutter County, CA",2014,"44,394","38,781","5,613",12.6
CN0610300000000,6,103,"Tehama County, CA",2014,"25,144","22,726","2,418",9.6
CN0610500000000,6,105,"Trinity County, CA",2014,"5,182","4,693",489,9.4
CN0610700000000,6,107,"Tulare County, CA",2014,"198,635","172,550","26,085",13.1
CN0610900000000,6,109,"Tuolumne County, CA",2014,"21,628","19,757","1,871",8.7
CN0611100000000,6,111,"Ventura County, CA",2014,"431,107","402,455","28,652",6.6
CN0611300000000,6,113,"Yolo County, CA",2014,"102,474","94,763","7,711",7.5
CN0611500000000,6,115,"Yuba County, CA",2014,"27,962","24,829","3,133",11.2
CN0800100000000,8,1,"Adams County, CO",2014,"244,862","230,839","14,023",5.7
CN0800300000000,8,3,"Alamosa County, CO",2014,"7,507","6,966",541,7.2
CN0800500000000,8,5,"Arapahoe County, CO",2014,"330,982","314,763","16,219",4.9
CN0800700000000,8,7,"Archuleta County, CO",2014,"5,721","5,378",343,6
CN0800900000000,8,9,"Baca County, CO",2014,"1,924","1,871",53,2.8
CN0801100000000,8,11,"Bent County, CO",2014,"1,650","1,563",87,5.3
CN0801300000000,8,13,"Boulder County, CO",2014,"176,045","168,845","7,200",4.1
CN0801400000000,8,14,"Broomfield County/city, CO",2014,"34,151","32,707","1,444",4.2
CN0801500000000,8,15,"Chaffee County, CO",2014,"8,378","8,012",366,4.4
CN0801700000000,8,17,"Cheyenne County, CO",2014,971,943,28,2.9
CN0801900000000,8,19,"Clear Creek County, CO",2014,"5,513","5,257",256,4.6
CN0802100000000,8,21,"Conejos County, CO",2014,"3,605","3,325",280,7.8
CN0802300000000,8,23,"Costilla County, CO",2014,"1,608","1,462",146,9.1
CN0802500000000,8,25,"Crowley County, CO",2014,"1,314","1,237",77,5.9
CN0802700000000,8,27,"Custer County, CO",2014,"1,978","1,886",92,4.7
CN0802900000000,8,29,"Delta County, CO",2014,"13,587","12,630",957,7
CN0803100000000,8,31,"Denver County/city, CO",2014,"368,465","350,792","17,673",4.8
CN0803300000000,8,33,"Dolores County, CO",2014,"1,328","1,276",52,3.9
CN0803500000000,8,35,"Douglas County, CO",2014,"169,078","162,294","6,784",4
CN0803700000000,8,37,"Eagle County, CO",2014,"32,369","31,017","1,352",4.2
CN0803900000000,8,39,"Elbert County, CO",2014,"12,948","12,396",552,4.3
CN0804100000000,8,41,"El Paso County, CO",2014,"306,425","288,041","18,384",6
CN0804300000000,8,43,"Fremont County, CO",2014,"14,520","13,328","1,192",8.2
CN0804500000000,8,45,"Garfield County, CO",2014,"31,148","29,508","1,640",5.3
CN0804700000000,8,47,"Gilpin County, CO",2014,"3,447","3,296",151,4.4
CN0804900000000,8,49,"Grand County, CO",2014,"8,923","8,564",359,4
CN0805100000000,8,51,"Gunnison County, CO",2014,"9,667","9,276",391,4
CN0805300000000,8,53,"Hinsdale County, CO",2014,434,418,16,3.7
CN0805500000000,8,55,"Huerfano County, CO",2014,"2,409","2,168",241,10
CN0805700000000,8,57,"Jackson County, CO",2014,834,804,30,3.6
CN0805900000000,8,59,"Jefferson County, CO",2014,"307,385","293,395","13,990",4.6
CN0806100000000,8,61,"Kiowa County, CO",2014,751,726,25,3.3
CN0806300000000,8,63,"Kit Carson County, CO",2014,"4,309","4,178",131,3
CN0806500000000,8,65,"Lake County, CO",2014,"4,503","4,294",209,4.6
CN0806700000000,8,67,"La Plata County, CO",2014,"29,894","28,634","1,260",4.2
CN0806900000000,8,69,"Larimer County, CO",2014,"176,951","169,412","7,539",4.3
CN0807100000000,8,71,"Las Animas County, CO",2014,"6,420","5,936",484,7.5
CN0807300000000,8,73,"Lincoln County, CO",2014,"2,132","2,045",87,4.1
CN0807500000000,8,75,"Logan County, CO",2014,"10,988","10,571",417,3.8
CN0807700000000,8,77,"Mesa County, CO",2014,"73,160","68,598","4,562",6.2
CN0807900000000,8,79,"Mineral County, CO",2014,424,403,21,5
CN0808100000000,8,81,"Moffat County, CO",2014,"7,301","6,880",421,5.8
CN0808300000000,8,83,"Montezuma County, CO",2014,"12,646","11,876",770,6.1
CN0808500000000,8,85,"Montrose County, CO",2014,"19,254","17,947","1,307",6.8
CN0808700000000,8,87,"Morgan County, CO",2014,"14,796","14,116",680,4.6
CN0808900000000,8,89,"Otero County, CO",2014,"7,963","7,355",608,7.6
CN0809100000000,8,91,"Ouray County, CO",2014,"2,132","2,009",123,5.8
CN0809300000000,8,93,"Park County, CO",2014,"9,348","8,918",430,4.6
CN0809500000000,8,95,"Phillips County, CO",2014,"2,251","2,177",74,3.3
CN0809700000000,8,97,"Pitkin County, CO",2014,"11,017","10,480",537,4.9
CN0809900000000,8,99,"Prowers County, CO",2014,"5,722","5,454",268,4.7
CN0810100000000,8,101,"Pueblo County, CO",2014,"72,251","66,970","5,281",7.3
CN0810300000000,8,103,"Rio Blanco County, CO",2014,"2,937","2,763",174,5.9
CN0810500000000,8,105,"Rio Grande County, CO",2014,"4,816","4,373",443,9.2
CN0810700000000,8,107,"Routt County, CO",2014,"14,373","13,774",599,4.2
CN0810900000000,8,109,"Saguache County, CO",2014,"3,002","2,740",262,8.7
CN0811100000000,8,111,"San Juan County, CO",2014,475,450,25,5.3
CN0811300000000,8,113,"San Miguel County, CO",2014,"4,918","4,684",234,4.8
CN0811500000000,8,115,"Sedgwick County, CO",2014,"1,085","1,035",50,4.6
CN0811700000000,8,117,"Summit County, CO",2014,"20,062","19,386",676,3.4
CN0811900000000,8,119,"Teller County, CO",2014,"11,573","10,895",678,5.9
CN0812100000000,8,121,"Washington County, CO",2014,"2,645","2,561",84,3.2
CN0812300000000,8,123,"Weld County, CO",2014,"145,272","138,793","6,479",4.5
CN0812500000000,8,125,"Yuma County, CO",2014,"4,953","4,789",164,3.3
CN0900100000000,9,1,"Fairfield County, CT",2014,"478,479","448,984","29,495",6.2
CN0900300000000,9,3,"Hartford County, CT",2014,"473,612","441,506","32,106",6.8
CN0900500000000,9,5,"Litchfield County, CT",2014,"105,843","99,476","6,367",6
CN0900700000000,9,7,"Middlesex County, CT",2014,"92,289","87,004","5,285",5.7
CN0900900000000,9,9,"New Haven County, CT",2014,"457,038","423,994","33,044",7.2
CN0901100000000,9,11,"New London County, CT",2014,"137,463","128,146","9,317",6.8
CN0901300000000,9,13,"Tolland County, CT",2014,"84,735","79,788","4,947",5.8
CN0901500000000,9,15,"Windham County, CT",2014,"62,991","58,384","4,607",7.3
CN1000100000000,10,1,"Kent County, DE",2014,"75,216","70,393","4,823",6.4
CN1000300000000,10,3,"New Castle County, DE",2014,"283,309","267,676","15,633",5.5
CN1000500000000,10,5,"Sussex County, DE",2014,"94,789","89,318","5,471",5.8
CN1100100000000,11,1,District of Columbia,2014,"378,380","348,981","29,399",7.8
CN1200100000000,12,1,"Alachua County, FL",2014,"129,548","122,796","6,752",5.2
CN1200300000000,12,3,"Baker County, FL",2014,"11,208","10,491",717,6.4
CN1200500000000,12,5,"Bay County, FL",2014,"87,558","82,008","5,550",6.3
CN1200700000000,12,7,"Bradford County, FL",2014,"10,752","10,146",606,5.6
CN1200900000000,12,9,"Brevard County, FL",2014,"257,909","239,911","17,998",7
CN1201100000000,12,11,"Broward County, FL",2014,"987,282","928,716","58,566",5.9
CN1201300000000,12,13,"Calhoun County, FL",2014,"4,945","4,602",343,6.9
CN1201500000000,12,15,"Charlotte County, FL",2014,"66,886","62,292","4,594",6.9
CN1201700000000,12,17,"Citrus County, FL",2014,"48,229","44,106","4,123",8.5
CN1201900000000,12,19,"Clay County, FL",2014,"97,811","92,188","5,623",5.7
CN1202100000000,12,21,"Collier County, FL",2014,"160,059","150,508","9,551",6
CN1202300000000,12,23,"Columbia County, FL",2014,"28,359","26,476","1,883",6.6
CN1202700000000,12,27,"DeSoto County, FL",2014,"13,168","12,228",940,7.1
CN1202900000000,12,29,"Dixie County, FL",2014,"5,555","5,144",411,7.4
CN1203100000000,12,31,"Duval County, FL",2014,"459,978","429,051","30,927",6.7
CN1203300000000,12,33,"Escambia County, FL",2014,"139,309","130,372","8,937",6.4
CN1203500000000,12,35,"Flagler County, FL",2014,"43,219","40,046","3,173",7.3
